Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Classification_Accuracy,0.927,0.932,0.93,0.95,0.933,0.933,0.916,0.924,0.942,0.938
Global_F1,0.92699116,0.9319989,0.92998207,0.9499998,0.9329806,0.93299186,0.91597855,0.92399514,0.9419991,0.9379442
Precision_1,0.91780823,0.9354839,0.9166667,0.9518072,0.94824016,0.94274026,0.9031008,0.9308943,0.9455645,0.96595746
Precision_0,0.93660533,0.9285714,0.9442149,0.9482072,0.9187621,0.92367905,0.92975205,0.9173228,0.93849206,0.91320753
F1_0,0.92618805,0.93227094,0.9288618,0.95009977,0.93411994,0.93372893,0.91463417,0.9246031,0.94223106,0.9398058
Recall_1,0.938,0.928,0.946,0.948,0.916,0.922,0.932,0.916,0.938,0.908
Recall_0,0.916,0.936,0.914,0.952,0.95,0.944,0.9,0.932,0.946,0.968
F1_1,0.9277943,0.9317269,0.93110234,0.9498998,0.93184125,0.93225473,0.9173229,0.92338717,0.9417671,0.93608254
