Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Classification_Accuracy,0.802,0.815,0.789,0.791,0.824,0.787,0.773,0.785,0.786,0.784
Global_F1,0.8019992,0.81494653,0.7883122,0.79092455,0.8238809,0.78676784,0.77294886,0.78424895,0.78532684,0.7831116
Precision_1,0.8032129,0.82608694,0.7594255,0.7803468,0.84177214,0.80728054,0.7814433,0.75491947,0.7571942,0.75177306
Precision_0,0.8007968,0.80464214,0.8261851,0.8024948,0.80798477,0.7692308,0.76504856,0.82312924,0.8220721,0.82568806
F1_0,0.8023952,0.8180924,0.776246,0.78695214,0.82846004,0.79380447,0.7763546,0.77151966,0.7733051,0.7692307
Recall_1,0.8,0.798,0.846,0.81,0.798,0.754,0.758,0.844,0.842,0.848
Recall_0,0.804,0.832,0.732,0.772,0.85,0.82,0.788,0.726,0.73,0.72
F1_1,0.80160326,0.8118006,0.80037844,0.79489696,0.8193018,0.7797312,0.7695432,0.7969783,0.7973485,0.7969925
